,"Plant Influent
[Plant Influent Total Flow]",Vista Gauge Level (feet),Vista Gauge Elevation (feet),Vista Gauge Predicted Max Level (feet),Vista Gauge Predicted Max Elevation (feet),Flow1 (cfs),Flow2 (cfs),Flow3 (cfs),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/1/17,26.65,4.27539931,4375.175293,7.61000013,4378.509766,363,28.6,471,0,0,0
1/2/17,25.84,4.24751735,4375.147428,7.61000013,4378.509766,357,27.4,457,0,0,0
1/3/17,25.98,4.18881941,4375.08876,7.61000013,4378.509766,338,27.1,427,0.05,0,0
1/4/17,31.91,6.38562498,4377.285546,14.57218747,4385.472017,954,249,1270,1.09,2.2,0
1/5/17,29.19,6.32062493,4377.220601,19.80121532,4390.701129,669,306,1100,0.18,2.1,3.1
1/6/17,28.55,5.06598956,4375.965919,20.49062477,4391.390467,522,89.1,728,0,0,3.1
1/7/17,26.47,4.85916673,4375.759009,20.91041639,4391.810249,512,61.8,672,0.11,1.1,3.1
1/8/17,37.30,11.01017357,4381.910078,21.33645821,4392.236328,4920,390,4630,1.44,0,2
1/9/17,42.21,17.76996531,4388.669885,19.99079866,4390.890712,7970,1130,9660,0.16,0,0
1/10/17,42.21,13.21029669,4384.110235,19.5,4390.399902,4460,799,5580,0.95,0,0
1/11/17,44.44,13.90590279,4384.805811,19.5,4390.399902,3900,922,6040,0.26,0,0
1/12/17,38.62,10.52204863,4381.421934,19.5,4390.399902,2780,442,3570,0.32,4,0
1/13/17,39.76,8.76753483,4379.667351,18.8029341,4389.702863,1960,229,2300,0,0,3.1
1/14/17,36.07,7.42055558,4378.320436,17.62791681,4388.527868,1570,149,1730,0,0,2
1/15/17,36.79,7.01532981,4377.915289,14.95979179,4385.859729,1420,118,1540,0,0,2
1/16/17,36.50,6.72050348,4377.620397,12.90574658,4383.80566,1300,104,1420,0,0,2
1/17/17,35.54,6.45180558,4377.351687,9.87630212,4380.776176,1180,92,1320,0,0,2
1/18/17,32.42,6.24972222,4377.149629,8.13807295,4379.037991,1110,89.5,1260,0.12,0,1.2
1/19/17,31.55,6.91388888,4377.813799,7.3143229,4378.214247,1220,207,1500,0.03,0.1,0
