Date,North Influent Flow,Vista Guage Level (feet),Vista Gauge Elevation (feet),Vista Gauge Predicted Max Level (feet),Vista Gauge Predicted Max Elevation (feet),North Manhole Level (feet),Flow1 (cfs),Flow2 (cfs),Flow3 (cfs),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/1/17,11.92,4.27539931,4375.175293,7.61,4378.509766,2.22,363,28.6,471,0,0,0
1/2/17,11.92,4.24751735,4375.147428,7.61,4378.509766,2.07,357,27.4,457,0,0,0
1/3/17,11.92,4.18881941,4375.08876,7.61,4378.509766,1.92,338,27.1,427,0.05,0,0
1/4/17,11.92,6.38562498,4377.285546,14.57219,4385.472017,2.26,954,249,1270,1.09,2.2,0
1/5/17,11.92,6.32062493,4377.220601,19.80122,4390.701129,1.97,669,306,1100,0.18,2.1,3.1
1/6/17,11.92,5.06598956,4375.965919,20.49062,4391.390467,2.07,522,89.1,728,0,0,3.1
1/7/17,11.92,4.85916673,4375.759009,20.91042,4391.810249,2.20,512,61.8,672,0.11,1.1,3.1
1/8/17,11.92,11.01017357,4381.910078,21.33646,4392.236328,10.22,4920,390,4630,1.44,0,2
1/9/17,11.92,17.76996531,4388.669885,19.9908,4390.890712,22.57,7970,1130,9660,0.16,0,0
1/10/17,11.92,13.21029669,4384.110235,19.5,4390.399902,15.15,4460,799,5580,0.95,0,0
1/11/17,11.92,13.90590279,4384.805811,19.5,4390.399902,15.14,3900,922,6040,0.26,0,0
1/12/17,11.92,10.52204863,4381.421934,19.5,4390.399902,12.68,2780,442,3570,0.32,4,0
1/13/17,11.92,8.76753483,4379.667351,18.80293,4389.702863,10.03,1960,229,2300,0,0,3.1
1/14/17,11.92,7.42055558,4378.320436,17.62792,4388.527868,5.20,1570,149,1730,0,0,2
1/15/17,11.92,7.01532981,4377.915289,14.95979,4385.859729,6.05,1420,118,1540,0,0,2
1/16/17,11.92,6.72050348,4377.620397,12.90575,4383.80566,3.42,1300,104,1420,0,0,2
1/17/17,11.92,6.45180558,4377.351687,9.876302,4380.776176,3.74,1180,92,1320,0,0,2
1/18/17,11.92,6.24972222,4377.149629,8.138073,4379.037991,3.42,1110,89.5,1260,0.12,0,1.2
1/19/17,11.92,6.91388888,4377.813799,7.314323,4378.214247,6.47,1220,207,1500,0.03,0.1,0
1/20/17,11.92,6.59760415,4377.497528,7.095937,4377.99589,9.85,1050,141,1290,0.17,1.7,0
1/21/17,11.92,6.32604168,4377.225926,7.08,4377.97998,2.57,975,111,1180,0,0,0
1/22/17,11.92,6.29012148,4377.190075,7.08,4377.97998,2.80,946,132,1180,0.69,7.6,5.1
1/23/17,11.92,6.25418406,4377.154056,7.062743,4377.962719,2.79,884,159,1150,0,0,3.1
